"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0034370"	"GO:0034370"	"triglyceride-rich lipoprotein particle remodeling"	"3/11"	"12/18903"	3.21583277232745e-08	7.21618061488403e-06	3.06478713373453e-06	"APOA5/APOE/APOA4"	3
"GO:0034372"	"GO:0034372"	"very-low-density lipoprotein particle remodeling"	"3/11"	"12/18903"	3.21583277232745e-08	7.21618061488403e-06	3.06478713373453e-06	"APOA5/APOE/APOA4"	3
"GO:0033700"	"GO:0033700"	"phospholipid efflux"	"3/11"	"13/18903"	4.17925518236527e-08	7.21618061488403e-06	3.06478713373453e-06	"APOA5/APOE/APOA4"	3
"GO:0034380"	"GO:0034380"	"high-density lipoprotein particle assembly"	"3/11"	"15/18903"	6.64459332611172e-08	7.35378665933728e-06	3.12322985531699e-06	"APOA5/APOE/APOA4"	3
"GO:0072378"	"GO:0072378"	"blood coagulation, fibrin clot formation"	"3/11"	"17/18903"	9.92407556572907e-08	7.35378665933728e-06	3.12322985531699e-06	"F13A1/FGA/F13B"	3
"GO:0007596"	"GO:0007596"	"blood coagulation"	"5/11"	"225/18903"	9.96119065457356e-08	7.35378665933728e-06	3.12322985531699e-06	"SAA1/F13A1/APOE/FGA/F13B"	5
"GO:0050817"	"GO:0050817"	"coagulation"	"5/11"	"230/18903"	1.11143384122539e-07	7.35378665933728e-06	3.12322985531699e-06	"SAA1/F13A1/APOE/FGA/F13B"	5
"GO:0007599"	"GO:0007599"	"hemostasis"	"5/11"	"231/18903"	1.135719947388e-07	7.35378665933728e-06	3.12322985531699e-06	"SAA1/F13A1/APOE/FGA/F13B"	5
"GO:0072376"	"GO:0072376"	"protein activation cascade"	"3/11"	"20/18903"	1.66215756472405e-07	9.56664020585619e-06	4.06305182488101e-06	"F13A1/FGA/F13B"	3
"GO:0034377"	"GO:0034377"	"plasma lipoprotein particle assembly"	"3/11"	"26/18903"	3.78366769658227e-07	1.95993986682962e-05	8.324068932481e-06	"APOA5/APOE/APOA4"	3
"GO:0065005"	"GO:0065005"	"protein-lipid complex assembly"	"3/11"	"29/18903"	5.31244311789021e-07	2.18331067733382e-05	9.2727480504525e-06	"APOA5/APOE/APOA4"	3
"GO:0034368"	"GO:0034368"	"protein-lipid complex remodeling"	"3/11"	"30/18903"	5.90083966846977e-07	2.18331067733382e-05	9.2727480504525e-06	"APOA5/APOE/APOA4"	3
"GO:0034369"	"GO:0034369"	"plasma lipoprotein particle remodeling"	"3/11"	"30/18903"	5.90083966846977e-07	2.18331067733382e-05	9.2727480504525e-06	"APOA5/APOE/APOA4"	3
"GO:0045940"	"GO:0045940"	"positive regulation of steroid metabolic process"	"3/11"	"30/18903"	5.90083966846977e-07	2.18331067733382e-05	9.2727480504525e-06	"APOA5/APOE/APOA4"	3
"GO:0034367"	"GO:0034367"	"protein-containing complex remodeling"	"3/11"	"32/18903"	7.20432855943758e-07	2.48789479585911e-05	1.05663485538418e-05	"APOA5/APOE/APOA4"	3
"GO:0008203"	"GO:0008203"	"cholesterol metabolic process"	"4/11"	"139/18903"	8.87707665534567e-07	2.78362467759972e-05	1.1822344190578e-05	"APOA5/APOL1/APOE/APOA4"	4
"GO:0042157"	"GO:0042157"	"lipoprotein metabolic process"	"4/11"	"140/18903"	9.13544778362843e-07	2.78362467759972e-05	1.1822344190578e-05	"APOA5/APOL1/APOE/APOA4"	4
"GO:1902652"	"GO:1902652"	"secondary alcohol metabolic process"	"4/11"	"149/18903"	1.17203888329862e-06	3.37286745304825e-05	1.43249196847609e-05	"APOA5/APOL1/APOE/APOA4"	4
"GO:0016125"	"GO:0016125"	"sterol metabolic process"	"4/11"	"154/18903"	1.33724196755604e-06	3.6457438904949e-05	1.54838543611752e-05	"APOA5/APOL1/APOE/APOA4"	4
"GO:0050878"	"GO:0050878"	"regulation of body fluid levels"	"5/11"	"390/18903"	1.51982915722123e-06	3.91364018093763e-05	1.66216378340981e-05	"SAA1/F13A1/APOE/FGA/F13B"	5
"GO:0055090"	"GO:0055090"	"acylglycerol homeostasis"	"3/11"	"42/18903"	1.66216378340981e-06	3.91364018093763e-05	1.66216378340981e-05	"APOA5/APOE/APOA4"	3
"GO:0070328"	"GO:0070328"	"triglyceride homeostasis"	"3/11"	"42/18903"	1.66216378340981e-06	3.91364018093763e-05	1.66216378340981e-05	"APOA5/APOE/APOA4"	3
"GO:0090207"	"GO:0090207"	"regulation of triglyceride metabolic process"	"3/11"	"43/18903"	1.78625835373799e-06	4.02296446624468e-05	1.70859494705373e-05	"APOA5/APOE/APOA4"	3
